Title,Author,Country
Something to Do with Paying Attention (McNally Editions),David Foster Wallace,USA
The Metamorphosis,Franz Kafka,Czechia
Abigail,Magda Szabó,Hungary
Searches: Selfhood in the Digital Age,Vauhini Vara,USA
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,USA
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,USA
Levels of the Game,John McPhee,USA
The Trading Game: A Confession,Gary  Stevenson,England
Interception: The Secrets Of Modern Sports Betting,Ed  Miller,USA
The Logic Of Sports Betting,Ed  Miller,USA
"One Day, Everyone Will Have Always Been Against This",Omar El Akkad,Egypt
Technopoly: The Surrender of Culture to Technology,Neil Postman,USA
Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI,Karen Hao,USA
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,USA
Why I Write,George Orwell,England
A People’s History of the United States: 1492 - Present,Howard Zinn,USA
The Message,Ta-Nehisi Coates,USA
"The Democracy Project: A History, a Crisis, a Movement",David Graeber,USA
Where the Axe Is Buried,Ray Nayler,Canada
The Unbearable Lightness of Being,Milan Kundera,Czechia
Dopamine Nation: Finding Balance in the Age of Indulgence,Anna Lembke,USA
Invisible Cities,Italo Calvino,Italy
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,USA
Filterworld: How Algorithms Flattened Culture,Kyle Chayka,USA
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,USA
The Trial,Franz Kafka,Czechia
Speculative Whiteness: Science Fiction and the Alt-Right,Jordan S. Carroll,USA
Martyr!,Kaveh Akbar,Iran
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,Canada
The Fifth Season (The Broken Earth #1),N.K. Jemisin,USA
They Can't Kill Us Until They Kill Us,Hanif Abdurraqib,USA
Stoner,John  Williams,USA
Trust,Hernan Diaz,Argentina
The City & The City,China Miéville,England
Technofeudalism: What Killed Capitalism,Yanis Varoufakis,Greece
Demons,Fyodor Dostoevsky,Russia
Has China Won? The Chinese Challenge to American Primacy,Kishore Mahbubani,Sinagpore
Strangers in Their Own Land: Anger and Mourning on the American Right,Arlie Russell Hochschild,USA
Nuclear War: A Scenario,Annie Jacobsen,USA
The Ministry for the Future,Kim Stanley Robinson,USA
Y2K: How the 2000s Became Everything,Colette Shade,USA
Severance,Ling  Ma,USA
Doppelganger: A Trip into the Mirror World,Naomi Klein,Canada
There's Always This Year: On Basketball and Ascension,Hanif Abdurraqib,USA
Same Bed Different Dreams,Ed     Park,USA
"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber,USA
CivilWarLand in Bad Decline,George Saunders,USA
End Zone,Don DeLillo,USA
Demon Copperhead,Barbara Kingsolver,USA
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,USA
How to Do Nothing: Resisting the Attention Economy,Jenny Odell,USA
Bullshit Jobs: A Theory,David Graeber,USA
The Communist Manifesto,Karl Marx,Germany
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,USA
A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,USA
The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,USA
We,Yevgeny Zamyatin,Russia
Underworld,Don DeLillo,USA
Chess Story,Stefan Zweig,Austria
Project Hail Mary,Andy Weir,USA
"American Pastoral (The American Trilogy, #1)",Philip Roth,USA
When We Cease to Understand the World,Benjamín Labatut,Chile
Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,Chuck Klosterman,USA
On Writing: A Memoir of the Craft,Stephen  King,USA
The Maniac,Benjamín Labatut,Chile
But What If We're Wrong? Thinking About the Present As If It Were the Past,Chuck Klosterman,USA
Tao Te Ching,Lao Tzu,China
Liberation Day,George Saunders,USA
The Nineties,Chuck Klosterman,USA
The Mountain in the Sea,Ray Nayler,Canada
War and Peace,Leo Tolstoy,Russia
In Ascension,Martin MacInnes,Scotland
Master And Man,Leo Tolstoy,Russia
Birnam Wood,Eleanor Catton,New Zealand
Richard III,William Shakespeare,England
"The Hobbit, or There and Back Again",J.R.R. Tolkien,England
The Deluge,Stephen Markley,USA
"Chaos: Charles Manson, the CIA, and the Secret History of the Sixties",Tom O'Neill,USA
Of Mice and Men,John Steinbeck,USA
White Noise,Don DeLillo,USA
The Alchemist,Paulo Coelho,Brazil
"My Hero Academia, Vol. 2",Kouhei Horikoshi,Japan
"My Hero Academia, Vol. 1",Kohei Horikoshi,Japan
The Next Level: A Parable of Finding Your Place in Life,David     Gregory,USA
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,USA
The Old Man and the Sea,Ernest Hemingway,USA
Who Rules the World? (American Empire Project),Noam Chomsky,USA
Exhalation,Ted Chiang,USA
Fight Club,Chuck Palahniuk,USA
Mindf*ck: Cambridge Analytica and the Plot to Break America,Christopher Wylie,Canada
"The City We Became (Great Cities, #1)",N.K. Jemisin,USA
The Brothers Karamazov,Fyodor Dostoevsky,Russia
Caste: The Origins of Our Discontents,Isabel Wilkerson,USA
Why We're Polarized,Ezra Klein,USA
Hamnet,Maggie O'Farrell,Northern Ireland
Babel,R.F. Kuang,USA
How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr,USA
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,USA
The Stranger,Albert Camus,France
The Bell Jar,Sylvia Plath,USA
The War on Normal People: The Truth About America's Disappearing Jobs and Why Universal Basic Income Is Our Future,Andrew   Yang,USA
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,USA
Euphoria,Lily King,USA
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,USA
How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,USA
A History of the World in 6 Glasses,Tom Standage,England
All Quiet on the Western Front,Erich Maria Remarque,Germany
Reasoning with Data: An Introduction to Traditional and Bayesian Statistics Using R,Jeffrey M. Stanton,USA
Harrison Bergeron,Kurt Vonnegut Jr.,USA
"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,England
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,USA
Breakfast of Champions,Kurt Vonnegut Jr.,USA
Stormbreaker (Alex Rider #1),Anthony Horowitz,England
Seven Games: A Human History,Oliver Roeder,USA
And Then There Were None,Agatha Christie,England
The Immortal Game: A History of Chess,David Shenk,USA
Man's Search for Meaning,Viktor E. Frankl,Austria
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,China
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,USA
The Midrange Theory,Seth Partnow,USA
Mother Night,Kurt Vonnegut Jr.,USA
Data Science for Business With R,Jeffrey S Saltz,USA
What I Talk About When I Talk About Running,Haruki Murakami,Japan
Existentialism is a Humanism,Jean-Paul Sartre,France
Looking for Alaska,John Green,USA
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,USA
Outliers: The Story of Success,Malcolm Gladwell,Canada
Paper Towns,John Green,USA
Born a Crime: Stories from a South African Childhood,Trevor Noah,South Africa
The Kite Runner,Khaled Hosseini,Afganistan
The Lost City of the Monkey God: A True Story,Douglas Preston,USA
Foundation (Foundation #1),Isaac Asimov,USA
Cat's Cradle,Kurt Vonnegut Jr.,USA
Player Piano,Kurt Vonnegut Jr.,USA
Endgame: Bobby Fischer's Remarkable Rise and Fall—From America's Brightest Prodigy to the Edge of Madness,Frank Brady,USA
The Bear,Andrew Krivak,USA
1984,George Orwell,England
"Dune (Dune, #1)",Frank Herbert,USA
The Fault in Our Stars,John Green,USA
World War Z: An Oral History of the Zombie War,Max Brooks,USA
Othello,William Shakespeare,England
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,USA
Macbeth,William Shakespeare,England
The Scarlet Letter,Nathaniel Hawthorne,USA
Fahrenheit 451,Ray Bradbury,USA
Romeo and Juliet,William Shakespeare,England
Lord of the Flies,William Golding,England
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Israel
